entidade,preco_fecho,dates
ENA,6000.0,2008-01-17
SCT,6500.0,2008-01-14
ENA,6990.0,2008-01-14
BCA,3200.0,2008-01-08
BCA,3400.0,2007-12-12
BCA,3400.0,2007-12-10
SCT,6700.0,2007-12-05
BCA,3000.0,2007-12-03
ENA,7000.0,2007-11-30
BCA,3000.0,2007-11-30
ENA,7000.0,2007-11-28
BCA,3000.0,2007-11-28
ENA,6094.0,2007-11-27
ENA,5300.0,2007-11-23
ENA,5100.0,2007-11-22
ENA,5350.0,2007-11-15
ENA,5350.0,2007-11-14
BCA,3000.0,2007-11-14
ENA,5200.0,2007-11-13
ENA,5000.0,2007-11-08
BCA,2900.0,2007-11-07
BCA,2900.0,2007-10-31
ENA,5000.0,2007-10-29
BCA,2800.0,2007-10-22
BCA,2767.0,2007-10-12
ENA,4500.0,2007-10-05
BCA,2933.0,2007-09-28
ENA,4620.0,2007-09-20
SCT,6400.0,2007-09-13
ENA,4500.0,2007-09-11
SCT,6500.0,2007-08-28
SCT,6500.0,2007-08-10
ENA,4600.0,2007-08-10
BCA,2551.0,2007-08-10
ENA,4600.0,2007-07-27
BCA,3000.0,2007-07-25
ENA,4400.0,2007-07-13
ENA,4600.0,2007-07-12
BCA,3000.0,2007-07-04
ENA,4550.0,2007-06-26
BCA,3000.0,2007-06-26
BCA,3000.0,2007-06-22
BCA,3000.0,2007-06-19
BCA,2990.0,2007-06-11
BCA,3000.0,2007-05-22
CAIXA,6100.0,2007-05-16
BCA,3000.0,2007-05-15
SCT,6500.0,2007-05-14
ENA,4400.0,2007-05-14
ENA,5060.0,2007-05-10
ENA,4700.0,2007-05-08
BCA,3300.0,2007-05-04
SCT,6500.0,2007-05-03
BCA,3300.0,2007-04-30
SCT,6500.0,2007-04-26
SCT,6500.0,2007-04-23
BCA,3000.0,2007-04-20
BCA,3000.0,2007-04-11
BCA,3000.0,2007-03-15
BCA,3000.0,2007-03-07
SCT,6500.0,2007-02-27
BCA,2900.0,2007-02-27
SCT,7150.0,2007-02-16
SCT,6500.0,2007-02-12
BCA,2990.0,2006-12-29
SCT,6500.0,2006-12-07
SCT,6500.0,2006-11-28
SCT,6500.0,2006-11-14
BCA,2955.0,2006-10-26
SCT,6500.0,2006-10-24
BCA,2990.0,2006-10-24
BCA,2900.0,2006-10-16
SCT,6500.0,2006-10-12
BCA,2900.0,2006-09-13
BCA,3000.0,2006-09-07
BCA,3000.0,2006-08-22
SCT,7145.0,2006-07-12
SCT,7145.0,2006-07-11
SCT,7125.0,2006-07-07
BCA,3390.0,2006-06-05
BCA,3385.0,2006-05-31
SCT,6385.0,2006-05-30
SCT,6385.0,2006-05-29
SCT,6385.0,2006-05-26
SCT,6385.0,2006-05-23
CAIXA,6100.0,2006-05-23
SCT,6385.0,2006-05-12
SCT,6385.0,2006-05-11
BCA,3800.0,2006-04-27
BCA,3800.0,2006-04-10
BCA,3800.0,2006-04-03
BCA,3800.0,2006-03-30
BCA,3800.0,2006-03-20
BCA,3800.0,2006-03-15
BCA,3800.0,2006-03-13
SCT,6385.0,2006-02-22
BCA,3900.0,2006-02-14
BCA,3900.0,2006-02-08
SCT,6500.0,2006-02-01
BCA,4000.0,2006-01-16
BCA,3500.0,2006-01-12
BCA,3500.0,2005-12-21
